KOD,AD,KREDİ,AKTS
H107,Anatomi,4,5
H103,Beslenme İlkeleri,3,4
H111,Biyokimya,3,4
H109,Fizyoloji,4,5
H101,Hemşirelik Felsefesi ve Temel Kavramlar,3,4
H105,İletişim Becerileri,2,3
H113,Türk Dili I,1,1
H115,Yabancı Dil I,1,1
HEM197,Sağlık Eğitimi,2,3
HEM182,Sağlık Okur Yazarlığı,2,3
HEM109,Yaşam Modeli,2,3
H106,Farmakoloji,3,4
H108,Mikrobiyoloji,2,3
H104,Sağlığı Değerlendirme,5,6
H102,Temel Hemşirelik Bakımı ve Klinik Beceriler,8,12
H110,Türk Dili II,1,1
H112,Yabancı Dil II,1,1
HEM104,Etkili Sunum Teknikleri,2,3
HEM106,İş Hayatı Yönetimi,2,3
HEM102,Stres ve Kriz Yönetimi,2,3
H229,Atatürk İlkeleri ve İnkılap Tarihi I,1,1
H221,Hemşirelik Esasları,6,12
H203,Hemşirelikte Öğretim,3,5
H231,Mesleki İngilizce I,1,1
H227,Patoloji,2,3
H225,Sosyoloji,1,2
ÜSD-1,Üniversite Seçmeli I,2,3
H226,Atatürk İlkeleri ve İnkılap Tarihi II,1,1
H220,Cerrahi Hastalıkları ve Hemşirelik Bakımı,5,10
H206,Hemşirelikte Etik,1,2
H222,İç Hastalıkları Hemşirelik Bakımı,5,10
H228,Mesleki İngilizce II,1,1
ÜSD-2,Üniversite Seçmeli II,2,3
H333,Çocuk Sağlığı Hastalıkları ve Hemşirelik Bakımı,5,10
H331,Doğum Kadın Sağlığı Hastalıkları ve Hemşirelik Bakımı,5,10
H337,Epidemiyoloji,2,3
H335,İlk Yardım ve Acil Bakım Hemşireliği,2,4
H334,Araştırma Yöntemleri,2,4
H336,Cinsel Sağlık,2,3
H330,Halk Sağlığı Hemşireliği,5,10
H332,Psikiyatri Hemşireliği,5,10
ÜSD-3,Üniversite Seçmeli III,2,3
H401,Hemşirelik Uygulaması I,12,24
H403,Hemşirelikte Yönetim,3,6
H402,Hemşirelik Uygulaması II,12,24
ÜSD-4,Üniversite Seçmeli IV,2,3
"Kod","Ders Adı","Kredi","AKTS"
"HEM1003","Anatomi",4,6
"HEM1005","Fizyoloji",2,3
"HEM1009","Hemşirelikte Kişiler Arası İlişkiler",2,3
"HEM1017","Mikrobiyoloji ve Parazitoloji",2,3
"HEM1019","Biyokimya",2,3
"HEM1023","Histoloji",2,3
"HEM1025","Kariyer Planlama",1,1
"PSİ1071","Psikolojiye Giriş I",2,3
"ATA101","Atatürk İlkeleri ve İnkılap Tarihi I",2,2
"TUD101","Türk Dili I",2,2
"YAD101","Yabancı Dil I (İngilizce)",2,2
"HEM1002","Hemşirelik Esasları",19,13
"HEM1016","Farmakoloji",2,3
"HEM1018","Patoloji",2,3
"HEM1020","Toplumsal Duyarlılık",1,2
