Ders Kodu,Ders Adı,Kredi,AKTS
İKT101,MİKRO İKTİSAT,3,4
İŞL101,İŞLETMEYE GİRİŞ,3,5
İŞL107,DAVRANIŞ BİLİMLERİ,3,4
İŞL109,GÖNÜLLÜLÜK ÇALIŞMALARI,1,4
İŞL111,YAZIM VE SUNUM TEKNİKLERİ,3,4
MAT185,MATEMATİK I,3,5
TRD109,TÜRK DİLİ I,2,2
YD107,İNGİLİZCE I,2,2
İKT102,MAKRO İKTİSAT,3,4
İŞL102,YÖNETİM VE ORGANİZASYON,3,4
İŞL112,MUHASEBEYE GİRİŞ,3,5
İŞL116,İŞLETME MATEMATIĞİ,3,5
KAM101,HUKUKA GİRİŞ,3,4
TRD110,TÜRK DİLİ-2,2,2
YBS102,YÖNETİM BİLİŞİM SİSTEMLERİ,3,4
YD108,İNGİLİZCE 2,2,2
AİT209,ATATÜRK İLKELERİ VE İNK.TARİHİ,2,2
İŞL201,PAZARLAMAYA GİRİŞ,3,5
İŞL207,MESLEKİ İNGİLİZCE,3,4
İŞL211,ÜRETİM VE İŞLEMLER YÖNETİMİ,3,5
İŞL213,İŞLETME İSTATİSTİĞİ,3,4
İŞL215,FİNANSAL MUHASEBE,3,5
İŞL217,ÖRGÜT TEORİSİ,3,5
AİT210,ATATÜRK İLKELERİ VE İNKILAP TARİHİ-2,2,2
İŞL202,PAZARLAMA YÖNETİMİ,3,5
İŞL206,İŞLETME ANALİZİ VE PLANLAMASI,3,5
İŞL208,İNSAN KAYNAKLARI YÖNETİMİ,3,5
İŞL218,ULUSLARARASI İŞLETMECİLİK,3,4
İŞL220,FİNANSAL YÖNETİM,3,5
İŞL222,ÖRGÜTSEL DAVRANIŞ,3,4
İŞL306,DİJİTAL PAZARLAMA,2,6
İŞL318,ARAŞTIRMA YÖNTEMLERİ,3,6
İŞL340,GİRİŞİMCİLİK,3,6
İŞL314,PROJE YÖNETİMİ,3,6
İŞL324,ŞİRKETLER MUHASEBESİ,3,6
İŞL338,HİZMET PAZARLAMASI,3,6
İŞL342,BİLGİSAYAR DESTEKLİ MUHASEBE,3,6
İŞL344,LİDERLİK VE MOTİVASYON,3,6
İŞL401,PAZARLAMA ARAŞTIRMALARI,3,6
İŞL405,MESLEKİ UYGULAMA,3,6
İŞL406,TEKNOLOJİ VE YENİLİK YÖNETİMİ,3,6
İŞL412,ULUSLARARASI PAZARLAMA,3,6
İŞL413,LOJİSTİK VE TEDARİK ZİNCİRİ YÖNETİMİ,3,6
İŞL443,YÖNETİM BEKLENTİLERİ VE PRAKTİKLERİ,3,6
İŞL445,FINANSAL ARAŞTIRMALAR VE KURUMLAR,3,6
İY201,KAMU MALİYESİ,3,6
İŞL440,PAZARLAMA ARAŞTIRMALARI,3,6
İŞL444,AR-GE VE YENİLİK YÖNETİMİ,3,6
İŞL453,YÖNETİMSEL DÜŞÜNCE GÜNCEL KONULAR,3,6
İŞL463,PAZARLAMA ARAŞTIRMALARI GÜNCEL KONULAR,3,6
İŞL467,E-TİCARET,3,6
İŞL471,MAKİNE ÖĞRENMESİ,3,6
İŞL473,BÜYÜK VERİ ANALİZİ,3,6
İŞL475,OYUN TASARIMI VE PROG.,3,6
"Ders Kodu","Ders Adı","Kredi","AKTS"
"AiİT1","Atatürk İlkeleri ve İnkılap Tarihi I",1,1
"İŞL 101","Davranış Bilimleri",3,4
"İŞL 103","Genel Muhasebe I",3,4
"HF 105","Hukukun Temel Kavramları",3,4
"İKT 107","İktisada Giriş I",3,4
"YD 113","İngilizce Dil Bilgisi I",4,5
"EKO 109","Matematik I",3,4
"YBS111","Temel Bilgi Teknolojileri",2,3
"TD1","Türk Dili I",1,1
"AiİT2","Atatürk İlkeleri ve İnkılap Tarihi II",1,1
"İŞL 102","Genel Muhasebe II",3,5
"İKT104","İktisada Giriş II",3,5
"YD112","İngilizce Dil Bilgisi II",4,5
"İŞL 106","İşletme Bilimlerine Giriş",3,4
"EKO108","Matematik II",3,5
"TD2","Türk Dili II",1,1
"İŞL 110","Yönetim ve Organizasyon",3,4
"YD207","İngilizce Dinleme ve Konuşma",4,5
"İŞL201","İnsan Kaynakları Yönetimi",3,5
"EKO203","İstatistik I",3,5
"İŞL205","Pazarlama Yönetimi",3,5
"HF209","Ticaret Hukuku",2,3
